Country Name,Area (Sq. Km.) -  2010,Population (Millions) - 2010
Argentina,2766890,40.12
Australia,7686850,22.18
Brazil,8511965,193.25
Canada,9976140,34.07
China,9596960,1340.91
France,547030,62.79
Germany,357021,81.76
India,3287590,1190.52
Indonesia,1919440,237.64
Italy,301230,60.34
Japan,377835,128.05
Mexico,1972550,112.32
Russia,17075200,142.9
Saudi Arabia,1960582,27.56
South Africa,1219912,49.99
Republic of Korea,98480,49.41
Turkey,780580,73
United Kingdom,244820,62.22
USA,9629091,309.73
European Union,4324782,501.65